2557, 2683, 2904
2547, 2683, 2918
2097, 2187, 2475
2072, 2576, 2750
2116, 2161, 2703
2314, 2785, 2899
2340, 2604, 2968
2122, 2220, 2506
2243, 2549, 2607
2313, 2376, 2461
2467, 2732, 2920
2055, 2147, 2429
2448, 2769, 2785
2488, 2722, 2734
2106, 2173, 2304
2140, 2148, 2610
2193, 2351, 2461
2596, 2733, 2905
2217, 2307, 2411
2525, 2717, 2781
2324, 2591, 2742
2566, 2679, 2741
2027, 2122, 2466
2391, 2513, 2960
2348, 2510, 2959
2157, 2371, 2533
2175, 2873, 2887
2354, 2376, 2824
2263, 2692, 2980
2562, 2589, 2947
2172, 2599, 2796
2056, 2561, 2654
2372, 2760, 2888
2056, 2668, 2886
2376, 2519, 2814
2112, 2356, 2872
2054, 2213, 2488
2067, 2293, 2845
2072, 2611, 2844
2265, 2296, 2843
2179, 2372, 2536
2798, 2942, 2975
2213, 2470, 2619
2150, 2552, 2685
2566, 2651, 2661
2795, 2855, 2987
2141, 2781, 2851
2554, 2833, 2901
2421, 2724, 2752
